Node ID,Language,NUMBER_FOLLOWERS,Node Label,IS_VERIFIED,LOCATION,IS_NEWS_AGENCY,TWEET_COUNT
974709862746771456,en,6852,KaufmanAbrams,0,"Morristown, NJ",,3
402678516,en,2803,CAFA1968,0,"Tampa, FL",,4
845939491,en,3658,Y_duale,0,Somalia,,1
1657999452,en,1680,TENACDC,0,"Washington, D.C.",,1
255797635,en,32135,DrBobBullard,0,"Houston, TX",,3
1453657842846683136,en,3490,Jacquelinn1969,0,"Maine, USA",,14
1582773174650945536,en,2576,JacobHookup,0,"Small town, WI",,2
1601768561650941954,,4220,GeneralMCNews,0,Guantanamo Bay,,0
1036023752,en,372,jackiangri,0,Adel,,1
383207452,en,16855,MattGoldstein26,0,,,2
959910867344281601,zxx,257,WAChase2,0,,,4
3394674339,en,429,jasminedbs,0,,,2
9581122,en,67234,mysuncoast,1,"Sarasota, Florida",,5
117856309,en,8223,MyArkLaMiss,1,"West Monroe, La",1,1
711720939822551040,en,2423,BellaDonaModels,0,UNKNOWN,,9
1511486566883069963,en,38,isaiasroldan009,0,Margate Florida,,1
10228272,,78888504,YouTube,1,"San Bruno, CA",1,0
1454253778891325442,en,580,g_marks,0,,,1
1001054494606667777,en,164,VideoKlldRadio,0,,,8
260432041,en,1105,HthrHayes,0,,,6
774979029699092480,en,3718,MedlawDan,0,,,1
1403725046368116736,en,519,IoneFos75741299,0,,,1
2779744237,en,1265,annaliesalin,0,,,1
1515964732175384586,ja,323,kimken2mai,0,,,1
3534222021,en,1224,newsoneplace,0,,,41
807573317993558016,en,1517,SherriRose711,0,"Cincinnati, OH",,12
2150359365,en,2190,DesbraRon,0,,,1
1493899147,en,2332,llovemyfreedom,0,,,1
1577773159385747456,en,1929,Djryan7Ryan,0,,,5
1373510713,en,478,ITYS589,0,"Philadelphia, PA",,3
33987489,en,10109,BitchR,0,Planet Earth,,4
755194813201416192,en,1173,JaneHerzog4,0,"Pennsylvania, USA",,1
15730096,en,2630,dorothy1961,0,TN,,2
244545902,pt,208,gabertoldo,0,"Goiás, Brasil",,1
1616936403979345922,en,97,SusieW1007,0,"Jackson, TN",,2
436237971,en,1626,HamlinDebbi,0,PNW,,5
2435043313,en,395,st_h_n_,0,,,1
31124797,en,10124,kdhnews,0,"Killeen, TX",1,1
18195930,en,550,yzowl,0,EVERYWHERE,,1
67391895,en,2209,OrvilleLloyd,0,Greater Toronto Area,,6
237099808,,4085,GabeCohenNews,1,"Washington, DC",,0
938753712914345987,en,3193,PaulEva93416111,0,"Swansea, Wales",,2
1598826294220922886,en,47,nunya_jc,0,In your Dreams,,1
3042177804,en,1205,pattys0033,0,The World - Always Real ,,3
1430751525911990273,en,2006,slicoricetea,0,PNW,,1
1623825362030596096,en,8,LindaB65387924,0,,,3
1557089759541039106,en,65,LeahSmi60220092,0,,,1
469822357,en,961,arbormister,0,"Chapel Hill, NC USA",,1
1267604766466600960,en,214,Alamgirhazere,0,,,1
58882353,en,2911,iamtaylorwinter,0,"Atlanta, GA",,2
701429198141857792,en,805,hummingbirdess,0,"Georgia, USA",,3
57547153,en,24,autocloud,0,United States,,4
